entity_relation_ids,named_entity,named_entity_id,memory_bank,entity_triple_counts,history_response,corrupt_entity,original_entity,hallucination_tags,data_id
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2413, 2413, 0, 0, 0]",botswana,2413,"[[2413, 17955, 2952], [2413, 17955, 5167]]","{618: 7, 2413: 47}",Text to check:amazon has the quality of data stream that is a wikidata property of <ent>botswana</ent>.,[],['Amazon'],0,2521
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7141, 7141, 7141, 7141, 0, 0, 0, 0, 0, 0]",jorja fox,7141,"[[7141, 17848, 2274], [7141, 18020, 16569]]","{13206: 68, 7141: 9}",Text to check:memento features <ent>jorja fox</ent> in the cast.,[],['Memento'],0,385
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15731, 15731, 0, 0, 0, 0]",latin,15731,"[[15731, 18003, 12711], [15731, 17925, 14241]]",{15731: 49},Text to check:sheila e.'s genre is <ent>latin</ent> jazz.,[],['Sheila E.'],0,3010
"[0, 0, 0, 0, 0, 0, 14242, 14242, 14242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",nottingham,14242,"[[14242, 17901, 9281], [14242, 18022, 6633]]",{14242: 25},Text to check:<ent>nottingham</ent> is the headquarter of notts county f.c. located at.,[],['Nottingham'],0,1491
"[0, 0, 0, 0, 0, 0, 10803, 10803, 10803, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cats & dogs,10803,"[[10803, 17785, 3690], [10803, 17785, 10250]]",{10803: 33},Text to check:<ent>cats & dogs</ent> is the movie that had susan sarandon and jack mcbrayer casted.,[],['Cats & Dogs'],0,2427
"[0, 0, 0, 0, 0, 0, 2888, 2888, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",northampton,2888,"[[2888, 17935, 725], [2888, 17783, 725]]",{2888: 7},Text to check:<ent>northampton</ent> is the capital of the massachusetts county containing amherst.,[],['Northampton'],0,1948
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2861, 2861, 2861, 2861, 2861, 2861, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",james a. garfield,2861,"[[2861, 17961, 17614], [2861, 18029, 5035]]",{2861: 20},Text to check:the general officer that is the military rank of <ent>james a. garfield</ent> and that is william tecumseh sherman's military rank is major general.,[],['major general'],0,3205
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10881, 10881, 10881, 10881, 10881, 0, 0, 0]",united states of america,10881,"[[10881, 18020, 14078], [10881, 18020, 11924]]","{6570: 2, 10881: 11553}",Text to check:delta delta delta is a sorority coming from <ent>united states of america</ent>.,[],['Delta Delta Delta'],0,1741
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3272, 3272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",england,3272,"[[3272, 17970, 14405], [3272, 17970, 5535]]",{3272: 246},"Text to check:middlesex is the historic county in <ent>england</ent> that is the source of the name middlesex county, with its capital being middletown, and shares a border with buckinghamshire.",[],['Middlesex'],0,2002
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12850, 12850, 0, 0, 0]",alton,12850,"[[12850, 17811, 10881], [12850, 18022, 3354]]","{8103: 7, 12850: 5}",Text to check:robert smith died in <ent>alton</ent>.,[],['Robert Smith'],0,1569
"[0, 0, 0, 0, 0, 0, 450, 450, 450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",gary oldman,450,"[[450, 17785, 945], [450, 18020, 5877]]",{450: 46},Text to check:<ent>gary oldman</ent> was casted in porto (that origins from france).,['Gary Oldman'],['Anton Yelchin'],1,3099
"[0, 0, 0, 0, 0, 0, 0, 0, 4552, 4552, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",christmas,4552,"[[4552, 17946, 9988], [4552, 17946, 3457]]",{4552: 53},Text to check:a <ent>christmas</ent> carol was produced by andy heyward.,[],['A Christmas Carol'],0,2176
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 22, 0, 0, 0, 0, 0, 0, 0]",russian,22,"[[22, 17925, 10201], [22, 17991, 8573]]",{22: 136},Text to check:autonomous republic of crimea uses <ent>russian</ent> as the official language.,[],['Autonomous Republic of Crimea'],0,805
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1784, 1784, 1784, 1784, 1784, 0, 0, 0]",daniel inouye,1784,"[[1784, 17851, 10570], [1784, 18013, 15383]]","{10570: 13, 1784: 33}",Text to check:japanese american is the asian american whose ethnic group is <ent>daniel inouye</ent>.,[],['Japanese American'],0,1607
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13924, 13924, 13924, 0, 0, 0]",tim minear,13924,"[[13924, 18020, 16569], [13924, 17848, 10529]]",{13924: 11},Text to check:drive was written by <ent>tim minear</ent>.,[],['Drive'],0,2492
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11634, 11634, 11634, 11634, 0, 0, 0, 0, 0]",helen mirren,11634,"[[11634, 17773, 13070], [11634, 17773, 11680]]","{7776: 9, 11634: 51}",Text to check:hammersmith is the london area where <ent>helen mirren</ent> was born.,['Hammersmith'],['Chiswick'],1,1555
"[0, 0, 0, 0, 0, 0, 14010, 14010, 14010, 14010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",john buscema,14010,"[[14010, 18067, 10001], [14010, 18067, 10001]]",{14010: 8},Text to check:<ent>john buscema</ent> is sal buscema's sibling.,[],['John Buscema'],0,546
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8797, 8797, 8797, 0, 0, 0, 0, 0, 0]",tokyo,8797,"[[8797, 17970, 13717], [8797, 17935, 3837]]","{16810: 149, 8797: 151}",Text to check:speed racer is a visual artwork that is in the japanese language and was originally aired on <ent>tokyo</ent> broadcasting system holdings.,['Speed Racer'],['Eureka Seven'],1,2481
"[0, 0, 0, 0, 0, 0, 14798, 14798, 14798, 14798, 0, 0, 0, 0, 0, 0, 0]",edward woodward,14798,"[[14798, 17848, 7512], [14798, 18022, 5127]]",{14798: 10},Text to check:<ent>edward woodward</ent> died in truro.,[],['Edward Woodward'],0,2616
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12437, 12437, 12437, 12437, 12437, 0, 0, 0]",michael swanwick,12437,"[[12437, 17914, 12703], [12437, 17914, 7965]]","{12703: 14, 12437: 13}",Text to check:alastair reynolds is a person who is influenced by <ent>michael swanwick</ent>.,[],['Alastair Reynolds'],0,1654
"[0, 0, 0, 0, 0, 0, 7187, 7187, 7187, 7187, 0, 0, 0, 0, 0, 0, 0, 0]",christopher nolan,7187,"[[7187, 17926, 12556], [7187, 17813, 13029]]",{7187: 5},Text to check:<ent>christopher nolan</ent> was born in montclair.,['Christopher Nolan'],['Kal Penn'],1,2242
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9082, 9082, 9082, 9082, 9082, 9082, 9082, 9082, 9082, 9082, 9082, 0, 0, 0]",jacob gedleyihlekisa zuma,9082,"[[9082, 17956, 17322], [9082, 17899, 771]]","{5966: 20, 9082: 7}",Text to check:nelson mandela established the political party that includes <ent>jacob gedleyihlekisa zuma</ent>.,[],['Nelson Mandela'],0,984
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12983, 12983, 12983, 12983, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",andrew jackson,12983,"[[12983, 17969, 16883], [12983, 17969, 562]]","{12375: 6, 12983: 34}","Text to check:jackson is named after <ent>andrew jackson</ent>, the participant of 5th united states congress.",['Jackson'],['Jackson County'],1,3070
"[0, 0, 0, 0, 0, 0, 10258, 10258, 10258, 10258, 0, 0, 0, 0, 0, 0, 0]",john hartford,10258,"[[10258, 18021, 6895], [10258, 17848, 16757]]",{10258: 24},Text to check:<ent>john hartford</ent> died of lymphoma.,[],['lymphoma'],0,3587
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2145, 2145, 2145, 2145, 0, 0, 0, 0, 0]",glenda jackson,2145,"[[2145, 17849, 3161], [2145, 17773, 16660]]",{2145: 22},Text to check:birkenhead is the town where <ent>glenda jackson</ent> was born.,[],['Birkenhead'],0,219
"[0, 0, 0, 0, 0, 0, 3878, 3878, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3878, 3878, 0, 0, 0]",chesterfield,3878,"[[3878, 17901, 9403], [3878, 17811, 17727]]","{9403: 18, 3878: 10}",Text to check:<ent>chesterfield</ent> f.c. is an association football club headquartered in <ent>chesterfield</ent>.,[],['Chesterfield F.C.'],0,2823
"[0, 0, 0, 0, 0, 0, 0, 0, 2104, 2104, 2104, 2104, 2104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",yavapai county,2104,"[[2104, 17935, 8770], [2104, 17811, 10881]]",{2104: 16},"Text to check:the <ent>yavapai county</ent> capital is prescott, located in the united states.",[],['Prescott'],0,198
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17299, 17299, 0, 0, 0, 0, 0, 0, 0]",washington,17299,"[[17299, 17783, 15954], [17299, 17986, 14482]]","{8865: 30, 17299: 83}","Text to check:darryl f. zanuck is the father of the human that is executive producer of planet of the apes (whose narrative location is <ent>washington</ent>, d.c.).",[],['Darryl F. Zanuck'],0,2434
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10992, 10992, 10992, 10992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",owen wilson,10992,"[[10992, 17785, 9861], [10992, 17785, 12217]]","{1671: 52, 10992: 44}",Text to check:rushmore is a visual artwork written by <ent>owen wilson</ent> that was released in slovakia.,[],['Rushmore'],0,2475
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12715, 12715, 12715, 12715, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",richard harris,12715,"[[12715, 17812, 10881], [12715, 18020, 14432]]","{7493: 23, 12715: 11}",Text to check:jared harris is the son of <ent>richard harris</ent> (the one that was nominated for grammy award for best male pop vocal performance).,[],['Jared Harris'],0,3031
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2720, 2720, 2720, 2720, 2720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",johnny knoxville,2720,"[[2720, 17785, 1588], [2720, 18034, 1588]]",{2720: 22},Text to check:the movie produced by <ent>johnny knoxville</ent> that follows jackass: the movie is jackass number two.,[],['Jackass Number Two'],0,2839
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3404, 3404, 3404, 3404, 0, 0, 0, 0, 0, 0, 0]",bryan forbes,3404,"[[3404, 17785, 13458], [3404, 18022, 16551]]",{3404: 14},Text to check:the guns of navarone is the film in which <ent>bryan forbes</ent> is in the cast.,[],['The Guns of Navarone'],0,2279
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10512, 10512, 10512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",new orleans,10512,"[[10512, 17938, 8699], [10512, 18020, 15178]]","{5043: 576, 10512: 104}","Text to check:warner bros. records is headquartered in <ent>new orleans</ent>, where wild at heart was filmed.",['Warner Bros. Records'],['Cash Money Records'],1,977
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15253, 15253, 15253, 0, 0, 0]",andy heyward,15253,"[[15253, 18034, 4134], [15253, 18020, 16569]]","{4552: 53, 15253: 5}",Text to check:a christmas carol was produced by <ent>andy heyward</ent>.,[],['A Christmas Carol'],0,2176
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 919, 919, 919, 0, 0, 0]",colorado springs,919,"[[919, 17935, 12325], [919, 17935, 12282]]","{8847: 7, 919: 14}",Text to check:douglas county has a border with the administrative territorial entity that has the capital of <ent>colorado springs</ent>.,[],['Douglas County'],0,1366
"[0, 0, 0, 0, 0, 0, 13888, 13888, 13888, 13888, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",brad pitt,13888,"[[13888, 18034, 16406], [13888, 17785, 16406]]",{13888: 73},Text to check:<ent>brad pitt</ent> is a kingdom of romania citizen.,['Brad Pitt'],['Edward G. Robinson'],1,212
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9530, 9530, 9530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",malaysia,9530,"[[9530, 17870, 4290], [9530, 17955, 16328]]","{7888: 6, 9530: 342}",Text to check:jim cummings is a voice actor for shrek (with a release region in <ent>malaysia</ent>) and animaniacs (produced by warner bros. animation).,[],['Jim Cummings'],0,2515
"[0, 0, 0, 0, 0, 0, 13602, 13602, 13602, 13602, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",peter berg,13602,"[[13602, 17831, 11849], [13602, 17785, 11849]]",{13602: 33},Text to check:<ent>peter berg</ent> is a german citizen who is a member of the kickers offenbach soccer club.,[],['Peter Berg'],0,2694
"[0, 0, 0, 0, 0, 0, 3310, 3310, 3310, 3310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",jeff lynne,3310,"[[3310, 17955, 3737], [3310, 17877, 3737]]",{3310: 33},Text to check:<ent>jeff lynne</ent> is a member of electric light orchestra.,[],['Jeff Lynne'],0,1255
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4612, 4612, 4612, 0, 0, 0]",john milius,4612,"[[4612, 17848, 7017], [4612, 18020, 13363]]","{15938: 12, 4612: 11}",Text to check:rome is a television series that was directed by michael apted and created by <ent>john milius</ent>.,[],['Rome'],0,1115
