original_response,id,declarative,gen_ans,gen_ans_id,gt_ans,gt_ans_id,hallucinated
Treat Williams is a cast member of both Brothers & Sisters and A Streetcar Named Desire (originally broadcast on ABC).,193,russell t davies is a cast member of both brothers & sisters and a streetcar named desire (originally broadcast on abc).,['russell t davies'],[8649],['treat williams'],[8644],1
"Lantana was an AACTA nominated movie for Best Actress in a Leading Role, in which Barbara Hershey was a cast member.",202,"a passage to india was an aacta nominated movie for best actress in a leading role, in which barbara hershey was a cast member.",['a passage to india'],[6453],['lantana'],[7202],1
Thomas Dekker is a voice actor and a cast member of Kaboom.,206,tokugawa clan is a voice actor and a cast member of kaboom.,['tokugawa clan'],[13223],['thomas dekker'],[2187],1
Hans Zimmer composed the animated feature film that has the voice actor Frances McDormand.,208,dimitri tiomkin composed the animated feature film that has the voice actor frances mcdormand.,['dimitri tiomkin'],[13920],['hans zimmer'],[13001],1
John Davis died in the United States city that is the birthplace of Samuel Fuller.,209,tyrese gibson died in the united states city that is the birthplace of samuel fuller.,['tyrese gibson'],[15282],['john davis'],[11639],1
Edward G. Robinson is a Kingdom of Romania citizen.,212,charles dickens is a kingdom of romania citizen.,['charles dickens'],[12140],['edward g. robinson'],[674],1
Tyra Banks is in the cast of Hannah Montana: The Movie and Tropic Thunder.,220,bucky larson: born to be a star is in the cast of hannah montana: the movie and tropic thunder.,['bucky larson: born to be a star'],[14974],['tyra banks'],[10158],1
Michael Redgrave was born in Bristol and part of the cast of The Go-Between which was based on literature.,226,carter bays was born in bristol and part of the cast of the go-between which was based on literature.,['carter bays'],[13216],['michael redgrave'],[2279],1
The Black Keys are known for the punk blues music genre.,235,the black keys are known for the punk blues music genre.,[],[],[],[90],0
Andrew Jackson is a Lutheran pastor.,237,natalie portman is a lutheran pastor.,['natalie portman'],[13955],['andrew jackson'],[9524],1
Robert Young died in Bakersfield.,241,brigitte nielsen died in bakersfield.,['brigitte nielsen'],[1620],['robert young'],[11192],1
Oberlin Conservatory of Music is a part of the college that is Ed Helms's school.,257,north carolina tar heels men's basketball is a part of the college that is ed helms's school.,"[""north carolina tar heels men's basketball""]",[8504],['oberlin conservatory of music'],[4343],1
Dakar is the capital of the sovereign state sharing a border with Gambia.,260,st. elsewhere is the capital of the sovereign state sharing a border with gambia.,['st. elsewhere'],[13335],['dakar'],[12668],1
Degrassi: The Next Generation was the first TV series to be broadcasted by CTV Television Network.,273,british army was the first tv series to be broadcasted by ctv television network.,['british army'],[1501],['degrassi: the next generation'],[2590],1
Valletta is by the Mediterranean Sea.,281,chicago hope is by the mediterranean sea.,['chicago hope'],[12211],['valletta'],[16085],1
Family Guy received at the 54th Primetime Emmy Awards.,282,ray milland received at the 54th primetime emmy awards.,['ray milland'],[2972],['family guy'],[13012],1
Robert Englund resides in Laguna Beach.,284,robert englund resides in downton abbey.,['downton abbey'],[775],['laguna beach'],[2694],1
"The Sorcerer's Apprentice, arranged for trumpet, is also arranged for cornet.",287,"the sorcerer's apprentice, arranged for trumpet, is also arranged for cornet.",[],[],[],[13400],0
"The Edge, a visual artwork, was shot in Edmonton, which is located in Alberta.",300,"royal australian navy, a visual artwork, was shot in edmonton, which is located in alberta.",['royal australian navy'],[5330],['the edge'],[6047],1
Harvard Medical School is the education place of William James who works as a philosopher.,311,japan academy prize for outstanding performance by an actress in a leading role is the education place of william james who works as a philosopher.,['japan academy prize for outstanding performance by an actress in a leading role'],[2164],['harvard medical school'],[7271],1
Stalag 17 has Otto Preminger as a cast member.,314,brideshead revisited has otto preminger as a cast member.,['brideshead revisited'],[16247],['stalag 17'],[7588],1
The name of the administrative territorial entity that is a twinned administrative body of Toronto is Islamabad.,324,the name of the administrative territorial entity that is a twinned administrative body of toronto is new orleans.,['new orleans'],[10511],['islamabad'],[4245],1
Dalhousie University is located in Ellen Page's birthplace city.,330,boston legal is located in ellen page's birthplace city.,['boston legal'],[291],['dalhousie university'],[9463],1
Tony Scott was born in Morristown.,333,tony scott was born in toronto international film festival.,['toronto international film festival'],[12786],['morristown'],[4374],1
"The association football team SV Werder Bremen is headquartered in Bremen, which is twinned with the administrative body of Bratislava.",347,"the association football team pfc cska  sofia is headquartered in bremen, which is twinned with the administrative body of bratislava.",['pfc cska  sofia'],[11425],['sv werder bremen'],[16295],1
The Damned is the film that is from the republic that is the story setting of Blow.,358,cannes film festival is the film that is from the republic that is the story setting of blow.,['cannes film festival'],[8808],['the damned'],[6074],1
Conrad Hall was killed by bladder cancer.,364,conrad hall was killed by bladder cancer.,[],[],[],[13263],0
Oz is in the genre of humor magazine.,375,oz is in the genre of humor magazine.,[],[],[],[8679],0
Kevin Williamson received education from East Carolina University.,377,kevin williamson received education from l.a. law.,['l.a. law'],[14914],['east carolina university'],[9088],1
Swahili is the original language of Out of Africa that received Academy Award for Best Picture.,380,bafta award for best actress in a leading role is the original language of out of africa that received academy award for best picture.,['bafta award for best actress in a leading role'],[12466],['swahili'],[386],1
The United States Forest Service was founded by Theodore Roosevelt.,389,the gallipoli campaign was founded by theodore roosevelt.,['gallipoli campaign'],[7232],['united states forest service'],[4137],1
Blake Lively was born in Tarzana.,408,blake lively was born in holland taylor.,['holland taylor'],[9924],['tarzana'],[5060],1
Vangelis' famous work is Chariots of Fire.,416,vangelis' famous work is bafta award for best actor in a leading role.,['bafta award for best actor in a leading role'],[7997],['chariots of fire'],[4490],1
Oldham is the metropolitan borough that has the capital the town that is where Siobhan Finneran was born.,419,university of houston is the metropolitan borough that has the capital the town that is where siobhan finneran was born.,['university of houston'],[5889],['oldham'],[4810],1
Spyglass Entertainment was founded by Gary Barber.,423,club de gimnasia y esgrima la plata was founded by gary barber.,['club de gimnasia y esgrima la plata'],[9689],['spyglass entertainment'],[12638],1
Frida was produced by Salma Hayek.,428,frida was produced by malcolm x.,['malcolm x'],[971],['salma hayek'],[3978],1
The Phantom of the Opera featured Haim Saban as an executive producer.,429,the phantom of the opera featured haim saban as an executive producer.,[],[],[],[2522],0
Saint Petersburg Conservatory is the conservatory where Nikolai Rimsky-Korsakov taught someone who studied there.,432,talia shire is the conservatory where nikolai rimsky-korsakov taught someone who studied there.,['talia shire'],[11972],['saint petersburg conservatory'],[11439],1
This Must Be the Place is a tragicomedy.,440,this must be the place is a tragicomedy.,[],[],[],[15188],0
"John Grisham produced the TV series that followed The Firm, which was released in the USA.",442,"eddie vedder produced the tv series that followed the firm, which was released in the usa.",['eddie vedder'],[12969],['john grisham'],[11554],1
Christopher Lloyd lived in Stamford.,449,jaime pressly lived in stamford.,['jaime pressly'],[8127],['christopher lloyd'],[3739],1
"San Diego County is a county in California that contains San Diego, which is also its capital.",454,"orlando bloom is a county in california that contains san diego, which is also its capital.",['orlando bloom'],[13413],['san diego county'],[4164],1
F. Murray Abraham was educated at University of Texas at El Paso.,466,saddam hussein was educated at university of texas at el paso.,['saddam hussein'],[12370],['f. murray abraham'],[4676],1
The headquarters location of S.S. Monza 1912 is Monza.,477,the headquarters location of s.s. villanova wildcats men's basketball 1912 is villanova wildcats men's basketball.,"[""villanova wildcats men's basketball""]",[5600],['monza'],[3576],1
Spyglass Entertainment was founded by the producer of Rush Hour 3.,479,la plata was founded by the producer of rush hour 3.,['la plata'],[10406],['spyglass entertainment'],[12638],1
Havana is the city where Al Jourgensen was born.,482,atlantic city is the city where al jourgensen was born.,['atlantic city'],[7085],['havana'],[15196],1
The City of Lost Children is a visual artwork that succeeds the soundtrack album having Angelo Badalamenti as an entertainer.,501,the city of lost children is a visual artwork that succeeds the soundtrack album having angelo badalamenti as an entertainer.,[],[],[],[1477],0
"The district that contains the Royal Academy of Arts has city status, which is the City of Westminster.",504,"the district that contains the royal academy of arts has city status, which is the east river.",['east river'],[3451],['city of westminster'],[10382],1
Beirut is the capital that sits in or adjacent to the Mediterranean Sea.,510,gallipoli is the capital that sits in or adjacent to the mediterranean sea.,['gallipoli'],[4681],['beirut'],[16059],1
West Berkshire is the unitary authority of England that is an administrative division of Berkshire.,513,"bernard law montgomery, 1st viscount montgomery of alamein is the unitary authority of england that is an administrative division of berkshire.","['bernard law montgomery, 1st viscount montgomery of alamein']",[1504],['west berkshire'],[11680],1
Edward Woodward was born in Ballarat.,514,edward woodward was born in santa barbara.,['santa barbara'],[17178],['ballarat'],[16492],1
Jennifer Tilly's eyes are brown.,523,jennifer tilly's eyes are brown.,[],[],[],[3181],0
Atlantic Canada is a geographic region that includes Prince Edward Island.,532,2011 toronto international film festival is a geographic region that includes prince edward island.,['2011 toronto international film festival'],[1432],['atlantic canada'],[14776],1
The Valve Corporation is in the video game industry.,537,the valve corporation is in the video game industry.,[],[],[],[9963],0
Marshall University is the higher education institution Brad Dourif used to study at.,552,masada is the higher education institution brad dourif used to study at.,['masada'],[5438],['marshall university'],[101],1
Gastroesophageal reflux disease lists pharyngitis and asthma as factors.,562,gastroesophageal reflux disease lists pharyngitis and asthma as factors.,[],[],[],[15217],0
Hannah Arendt is a person who is influenced by Jesus Christ and has an interest in politics.,568,craig thomas is a person who is influenced by jesus christ and has an interest in politics.,['craig thomas'],[1880],['hannah arendt'],[11410],1
Martha Plimpton is the person whose father is Keith Carradine.,569,alexandre dumas is the person whose father is keith carradine.,['alexandre dumas'],[1845],['martha plimpton'],[15025],1
"Province of Rome contains the administrative division of Rome, which is the narrative location of Il Divo.",570,"province of rome contains the administrative division of rome, which is the narrative location of il divo.",[],[],[],[10416],0
"Jon Bon Jovi was born in Perth Amboy, New Jersey.",583,"jon bon jovi was born in east coast hip hop, new jersey.",['east coast hip hop'],[5727],['perth amboy'],[567],1
The place where Latin hip hop originates is Latin America.,592,the place where latin hip hop originates is latin america.,[],[],[],[14359],0
Lucca is the name of the comune of Italy that is the twinned administrative body of Buenos Aires.,596,swansea is the name of the comune of italy that is the twinned administrative body of buenos aires.,['swansea'],[11161],['lucca'],[2111],1
The New England Patriots team has Tom Brady as its member.,599,the madrid team has tom brady as its member.,['madrid'],[14482],['new england patriots'],[7049],1
Tommy Boy Records is the record label RuPaul has.,600,william shakespeare is the record label rupaul has.,['william shakespeare'],[17631],['tommy boy records'],[7523],1
Bob Balaban received an 8th Screen Actors Guild Award and is a cast member of Capote.,603,lionel messi received an 8th screen actors guild award and is a cast member of capote.,['lionel messi'],[16207],['bob balaban'],[10683],1
Mrs. Parker and the Vicious Circle has Keith Carradine and Gwyneth Paltrow as members of the cast.,610,mrs. parker and the vicious circle has keith carradine and gwyneth paltrow as members of the cast.,[],[],[],[8097],0
"The movie Little Women, produced by Sony Pictures, is set in Massachusetts, which borders Connecticut.",613,"the movie czech republic, produced by sony pictures, is set in massachusetts, which borders connecticut.",['czech republic'],[14973],['little women'],[2631],1
Warren County is the administrative territorial entity that has the capital of Bowling Green.,615,susannah york is the administrative territorial entity that has the capital of bowling green.,['susannah york'],[955],['warren county'],[70],1
Gary Lucchesi produced Primal Fear.,648,sherri shepherd produced primal fear.,['sherri shepherd'],[6568],['gary lucchesi'],[17110],1
Lyle Lovett is the person that is both Julia Roberts' spouse and also a member of the cast of Cookie's Fortune.,649,tom wilkinson is the person that is both julia roberts' spouse and also a member of the cast of cookie's fortune.,['tom wilkinson'],[16926],['lyle lovett'],[12578],1
Nick Mason was educated at the University of Westminster.,668,nick mason was educated at the vivendi.,['vivendi'],[13018],['university of westminster'],[10298],1
"Declarative sentence: Dubai is the twin administrative body to Casablanca, which is the twin administrative body to Jakarta.",675,"declarative sentence: irving berlin is the twin administrative body to casablanca, which is the twin administrative body to jakarta.",['irving berlin'],[16674],['dubai'],[13777],1
Ryan Reynolds is the spouse of a person who worked as the narrator of Savages (with the script written by Oliver Stone).,695,robert morse is the spouse of a person who worked as the narrator of savages (with the script written by oliver stone).,['robert morse'],[15191],['ryan reynolds'],[3475],1
"English is used by Kevin McCarthy, a Drake University alumnus.",725,"english is used by alan moore, a drake university alumnus.",['alan moore'],[13771],['kevin mccarthy'],[3815],1
Sherbrooke is the twinned administrative body of Montpellier and located in Canada.,728,miami metropolitan area is the twinned administrative body of montpellier and located in canada.,['miami metropolitan area'],[12780],['sherbrooke'],[4537],1
EA Vancouver is a video game developer that is headquartered in Burnaby.,732,bhangra is a video game developer that is headquartered in burnaby.,['bhangra'],[1265],['ea vancouver'],[7401],1
"The Blues Brothers was released in the region of Chicago, which is the birthplace of Kiernan Shipka.",733,"the blues brothers was released in the region of chicago, which is the birthplace of kiernan shipka.",[],[],[],[6968],0
George Segal studied at Pratt Institute as well as Stuyvesant High School.,744,simon callow studied at pratt institute as well as stuyvesant high school.,['simon callow'],[12895],['george segal'],[7895],1
Logan County shares a border with Tazewell County.,747,mystic river shares a border with tazewell county.,['mystic river'],[3325],['logan county'],[4319],1
Reese Witherspoon is influenced by Gena Rowlands.,772,david a. stewart is influenced by gena rowlands.,['david a. stewart'],[973],['reese witherspoon'],[14703],1
Miami Beach is located in or adjacent to the geographic region whose lowest point is Rhode Island.,780,brunel university london is located in or adjacent to the geographic region whose lowest point is rhode island.,['brunel university london'],[2961],['miami beach'],[12145],1
The Shubert Organization is associated with the award ceremony that was received by Michael G. Wilson.,788,the shubert organization is associated with the award ceremony that was received by michael g. wilson.,[],[],[],[16456],0
James Garner is educated at Adelphi University and was born in North Carolina.,794,jennifer hudson is educated at adelphi university and was born in north carolina.,['jennifer hudson'],[13831],['james garner'],[3644],1
"Gregory Hoblit, who is educated at University of California, Berkeley and received a Primetime Emmy Award.",801,"richard rodgers, who is educated at university of california, berkeley and received a primetime emmy award.",['richard rodgers'],[5248],['gregory hoblit'],[5476],1
Dartmouth College is the education place of Buck Henry.,810,lebanon is the education place of buck henry.,['lebanon'],[13784],['dartmouth college'],[5725],1
Public Enemies is a visual artwork that both Leelee Sobieski and Carey Mulligan are cast in.,850,public enemies is a visual artwork that both leelee sobieski and carey mulligan are cast in.,[],[],[],[12407],0
The Bourne Identity is set in Zurich.,857,the bourne identity is set in zurich.,[],[],[],[1936],0
Waukegan is Jack Benny's home.,860,imperial house of japan is jack benny's home.,['imperial house of japan'],[13538],['waukegan'],[8917],1
The Adventures of Ford Fairlane is the film that has Renny Harlin as a cast member and whose producer is Joel Silver.,874,german democratic republic is the film that has renny harlin as a cast member and whose producer is joel silver.,['german democratic republic'],[1338],['the adventures of ford fairlane'],[3891],1
The miniseries with Susan Sarandon was inspired by the work of literature Dune.,887,the miniseries with susan sarandon was inspired by the work of literature dune.,[],[],[],[3967],0
Adrian is an animated series that has Italian as its original language and has origins from Italy.,893,harvey fierstein is an animated series that has italian as its original language and has origins from italy.,['harvey fierstein'],[16231],['adrian'],[15908],1
Kid vs. Kat originally aired on YTV.,896,kid vs. kat originally aired on ytv.,[],[],[],[4068],0
Alice in Wonderland was produced by Irwin Allen.,905,rachel bilson was produced by irwin allen.,['rachel bilson'],[15000],['alice in wonderland'],[3174],1
The movie Courage Under Fire was shot in El Paso.,913,the movie aacta award for best actress in a leading role was shot in el paso.,['aacta award for best actress in a leading role'],[6380],['courage under fire'],[7966],1
Mark Burnett's military division is the British Army.,924,mark burnett's military division is the imperial japanese army.,['imperial japanese army'],[11608],['british army'],[1501],1
University of Wales is affiliated to a public university located in Swansea.,925,tennessee williams is affiliated to a public university located in swansea.,['tennessee williams'],[7111],['university of wales'],[9936],1
University of Kentucky is the education place of Stan Lee and is where the 2006 NBA Draft is picked from.,928,europacorp is the education place of stan lee and is where the 2006 nba draft is picked from.,['europacorp'],[15785],['university of kentucky'],[6262],1
Catch Me If You Can was produced by Walter F. Parkes.,931,catch me if you can was produced by jeff probst.,['jeff probst'],[17458],['walter f. parkes'],[2919],1
Maury Chaykin was educated at the University at Buffalo.,942,maury chaykin was educated at the nicholas ii of russia.,['nicholas ii of russia'],[8045],['university at buffalo'],[14911],1
"Jon Stewart is a cast member of Jay and Silent Bob Strike Back. In addition, he received the 60th Primetime Emmy Awards.",952,"thomas haden church is a cast member of jay and silent bob strike back. in addition, he received the 60th primetime emmy awards.",['thomas haden church'],[10368],['jon stewart'],[609],1
Lily Allen lives in Islington.,961,jiang wen lives in islington.,['jiang wen'],[7213],['lily allen'],[10917],1
"Cash Money Records is headquartered in New Orleans, where Wild at Heart was filmed.",977,"s.s. lazio is headquartered in new orleans, where wild at heart was filmed.",['s.s. lazio'],[3598],['cash money records'],[1244],1
"Coming Home received New York Film Critics Circle Award for Best Actor, and its composer is Paul McCartney.",994,"coming home received new york film critics circle award for best actor, and its composer is d. w. moffett.",['d. w. moffett'],[10400],['paul mccartney'],[1163],1
Elmira is the birthplace of Elmira-native Mark Williams as well as Hal Roach.,999,apollo 13 is the birthplace of apollo 13-native mark williams as well as hal roach.,['apollo 13'],[3916],['elmira'],[8193],1
Ty Burrell was born in Grants Pass.,1000,yasser arafat was born in grants pass.,['yasser arafat'],[3292],['ty burrell'],[5464],1
Jim Morrison was born in Pensacola.,1006,jim morrison was born in singapore.,['singapore'],[13529],['pensacola'],[15112],1
The person who took part in the 2004 Summer Olympics and whose native language is German is Roger Federer.,1012,the person who took part in the 2004 summer olympics and whose native language is german is laurie metcalf.,['laurie metcalf'],[1066],['roger federer'],[4096],1
The Lookout is produced by Spyglass Entertainment.,1017,the lookout is produced by spyglass entertainment.,[],[],[],[13683],0
The Russian Civil War featured Vladimir Lenin as a participant.,1019,the english featured vladimir lenin as a participant.,['english'],[4589],['russian civil war'],[4841],1
The Best Years of Our Lives was nominated for an Academy Award for Best Film Editing and has a cast member named Blake Edwards.,1027,the best years of our lives was nominated for an academy award for best film editing and has a cast member named blake edwards.,[],[],[],[17502],0
Bohemia is a geographic region ruled by a monarchy that has warred with France.,1035,budapest is a geographic region ruled by a monarchy that has warred with france.,['budapest'],[2149],['bohemia'],[1251],1
Dermot Mulroney was educated at Northwestern University.,1055,dermot mulroney was educated at northwestern university.,[],[],[],[6353],0
Hannah Arendt resides in Hanover in Nazi Germany.,1060,michael gladis resides in hanover in nazi germany.,['michael gladis'],[13481],['hannah arendt'],[11410],1
Alkmaar is the Netherlands municipality which is the twinned administrative body of Bath and Darmstadt.,1064,ireland is the netherlands municipality which is the twinned administrative body of bath and darmstadt.,['ireland'],[7868],['alkmaar'],[15189],1
"Gloria Stuart narrated Titanic, an Academy Award nominee for Best Film Editing.",1077,"allison janney narrated titanic, an academy award nominee for best film editing.",['allison janney'],[14245],['gloria stuart'],[5769],1
mezzo-soprano is an academic discipline shared by Jordin Sparks and Bette Midler.,1086,mezzo-soprano is an academic discipline shared by jordin sparks and bette midler.,[],[],[],[17316],0
George Hopkins is the costume designer of the film Cleopatra.,1087,george hopkins is the costume designer of the film cleopatra.,[],[],[],[1991],0
North by Northwest was designed by Henry Grace.,1095,north by northwest was designed by henry grace.,[],[],[],[1645],0
"Grinnell College was attended by Peter Coyote and Joe Walsh, who was taught at Lee Strasberg Theater and Film Institute.",1099,"sofia coppola was attended by peter coyote and joe walsh, who was taught at lee strasberg theater and film institute.",['sofia coppola'],[3635],['grinnell college'],[1415],1
Jim Clark died from natural causes and was born in Alabama where Big Fish was filmed.,1104,irrfan khan died from natural causes and was born in alabama where big fish was filmed.,['irrfan khan'],[8837],['jim clark'],[15840],1
Pinocchio received the Academy Awards ceremony that was received by George Barnes.,1117,george sanders received the academy awards ceremony that was received by george barnes.,['george sanders'],[12274],['pinocchio'],[12048],1
Walter Hill is the screenwriter of the film that has Steve Vai as a member of the cast.,1123,stephen dorff is the screenwriter of the film that has steve vai as a member of the cast.,['stephen dorff'],[13793],['walter hill'],[11662],1
Boeing is a public company in Seattle.,1125,fc barcelona b is a public company in seattle.,['fc barcelona b'],[3627],['boeing'],[4975],1
Irvine is the US city where we can find the headquarters of video game development that is the child organization of Activision Blizzard.,1132,lucasfilm is the us city where we can find the headquarters of video game development that is the child organization of activision blizzard.,['lucasfilm'],[7072],['irvine'],[8762],1
Lloyd Alexander received the Newbery Medal.,1136,oscar hammerstein ii received the newbery medal.,['oscar hammerstein ii'],[8358],['lloyd alexander'],[17005],1
Jim Morrison was born in Pensacola.,1138,charlie's angels was born in pensacola.,"[""charlie's angels""]",[1859],['jim morrison'],[12314],1
Slavery is the main subject of The Ten Commandments (the one whose distributor is American Broadcasting Company).,1141,slavery is the main subject of the ten commandments (the one whose distributor is american broadcasting company).,[],[],[],[851],0
Bruce Dern was educated at the University of Pennsylvania.,1143,bruce dern was educated at the rcd espanyol b.,['rcd espanyol b'],[16044],['university of pennsylvania'],[14466],1
Quetta was the city where Suresh Oberoi was born.,1145,u.s. sassuolo calcio was the city where suresh oberoi was born.,['u.s. sassuolo calcio'],[8459],['quetta'],[8293],1
The Black Keys belong to the USA.,1153,the black keys belong to the usa.,[],[],[],[13368],0
University of Manitoba is the place where Loreena McKennitt studied.,1157,miramax is the place where loreena mckennitt studied.,['miramax'],[12449],['university of manitoba'],[1514],1
Heaven Can Wait was directed by Buck Henry.,1164,american beauty was directed by buck henry.,['american beauty'],[9049],['heaven can wait'],[7243],1
The administrative territorial entity that has Columbia (the one that is the South Carolina capital) is Lexington County.,1166,the administrative territorial entity that has columbia (the one that is the south carolina capital) is fairuza balk.,['fairuza balk'],[4590],['lexington county'],[14304],1
A. R. Rahman is the composer of Taj Mahal (whose script was written by Mani Ratnam).,1167,omar sharif is the composer of taj mahal (whose script was written by mani ratnam).,['omar sharif'],[15735],['a. r. rahman'],[16013],1
"San Rafael is the birthplace of George Duke, the pianist.",1172,"chicago is the birthplace of george duke, the pianist.",['chicago'],[6696],['san rafael'],[7842],1
Santa Clara County contains the United States city that is the birthplace of Andrew W.K.,1173,west germany contains the united states city that is the birthplace of andrew w.k.,['west germany'],[15362],['santa clara county'],[3557],1
Holes is a literary work that features Shia LaBeouf as a cast member in its feature film adaptation.,1198,holes is a literary work that features shia labeouf as a cast member in its feature film adaptation.,[],[],[],[6544],0
Morgan State University is where Mo'Nique was educated.,1200,orion pictures is where mo'nique was educated.,['orion pictures'],[1334],['morgan state university'],[17725],1
Xbox Game Studios is the child organization of Microsoft.,1202,barcelona is the child organization of microsoft.,['barcelona'],[12084],['xbox game studios'],[3973],1
Mark Williams is a member of the Oakland Athletics baseball team.,1206,mark williams is a member of the virginia madsen baseball team.,['virginia madsen'],[5845],['oakland athletics'],[5818],1
Jamie Foxx performs R&B style music in Hollywood.,1214,mary-louise parker performs r&b style music in hollywood.,['mary-louise parker'],[2744],['jamie foxx'],[1189],1
Ivan Reitman went to college at McMaster University.,1215,ivan reitman went to college at finland.,['finland'],[7840],['mcmaster university'],[547],1
The Green Hornet was the superhero film Jay Chou was in.,1216,the green hornet was the superhero film jay chou was in.,[],[],[],[3555],0
Walter Hill is a human who was born in England and is a member of Sheffield United F.C.,1224,anna camp is a human who was born in england and is a member of sheffield united f.c.,['anna camp'],[10159],['walter hill'],[5522],1
The Last Emperor was the winning movie at the 60th Academy Awards that was originally in Chinese.,1269,the last emperor was the winning movie at the 60th academy awards that was originally in chinese.,[],[],[],[11804],0
CBC Television is the distributor of Joan of Arc,1282,f.c. crotone is the distributor of joan of arc,['f.c. crotone'],[6110],['cbc television'],[9406],1
The ceremonial English County that surrounds the Enclave Nottingham is Nottinghamshire.,1283,the ceremonial english county that surrounds the enclave nottingham is portugal.,['portugal'],[6866],['nottinghamshire'],[1098],1
Patrick O'Neal was born in Ocala.,1286,ed harris was born in ocala.,['ed harris'],[5386],"[""patrick o'neal""]",[17588],1
Lynwood is the birthplace of Venus Williams.,1288,berlin international film festival is the birthplace of venus williams.,['berlin international film festival'],[16935],['lynwood'],[6306],1
Drum machine is the electronic musical instrument used by Kid Cudi.,1337,drum machine is the electronic musical instrument used by kid cudi.,[],[],[],[4922],0
"David Watkin was the director of photography of Out of Africa (the one that received Academy Award for Best Writing, Adapted Screenplay).",1346,"burt young was the director of photography of out of africa (the one that received academy award for best writing, adapted screenplay).",['burt young'],[62],['david watkin'],[7829],1
Carson City is an independent city that borders Washoe County.,1347,lincoln is an independent city that borders washoe county.,['lincoln'],[9241],['carson city'],[16917],1
Gonzaga University is located in the United States city that is the birthplace of Chuck Jones.,1357,united states marine corps is located in the united states city that is the birthplace of chuck jones.,['united states marine corps'],[16260],['gonzaga university'],[14280],1
